Index,Name,PosX,PosY,PosZ
0,StartTile,-9.5,0,-6.5
1,Tile (1),-9.5,0,-4.5
2,Tile (2),-9.5,0,-2.5
3,Tile (3),-9.5,0,-0.5
4,Tile (4),-9.5,0,1.5
5,Tile (5),-9.5,0,3.5
6,Tile (6),-9.5,0,5.5
7,Tile (7),-9.5,0,7.5
8,Tile (8),-9.5,0,9.5
9,IslandTile,-9.5,0,11.5
10,Tile (9),-7.5,0,11.5
11,Tile (10),-5.5,0,11.5
12,Tile (11),-3.5,0,11.5
13,Tile (12),-1.5,0,11.5
14,Tile (13),0.5,0,11.5
15,Tile (14),2.5,0,11.5
16,Tile (15),4.5,0,11.5
17,Tile (16),6.5,0,11.5
18,FestivalTile,8.5,0,11.5
19,Tile (17),8.5,0,9.5
20,Tile (18),8.5,0,7.5
21,Tile (19),8.5,0,5.5
22,Tile (20),8.5,0,3.5
23,Tile (21),8.5,0,1.5
24,Tile (22),8.5,0,-0.5
25,Tile (23),8.5,0,-2.5
26,Tile (24),8.5,0,-4.5
27,TravelTile,8.5,0,-6.5
28,Tile (25),6.5,0,-6.5
29,Tile (26),4.5,0,-6.5
30,Tile (27),2.5,0,-6.5
31,Tile (28),0.5,0,-6.5
32,Tile (29),-1.5,0,-6.5
33,Tile (30),-3.5,0,-6.5
34,Tile (31),-5.5,0,-6.5
35,Tile (32),-7.5,0,-6.5
